Provincias con mayor número de pernoctaciones;Establecimientos y personal empleado (plazas);Periodo;Total
02 Albacete;Número de plazas estimadas;2021M10;4.636
02 Albacete;Número de plazas estimadas;2021M09;4.746
02 Albacete;Número de plazas estimadas;2021M08;4.595
02 Albacete;Número de plazas estimadas;2021M07;4.845
02 Albacete;Número de plazas estimadas;2021M06;4.507
02 Albacete;Número de plazas estimadas;2021M05;4.164
02 Albacete;Número de plazas estimadas;2021M04;4.384
02 Albacete;Número de plazas estimadas;2021M03;3.999
02 Albacete;Número de plazas estimadas;2021M02;3.621
02 Albacete;Número de plazas estimadas;2021M01;3.533
02 Albacete;Número de plazas estimadas;2020M12;4.194
02 Albacete;Número de plazas estimadas;2020M11;4.609
02 Albacete;Número de plazas estimadas;2020M10;4.881
02 Albacete;Número de plazas estimadas;2020M09;4.762
02 Albacete;Número de plazas estimadas;2020M08;4.377
02 Albacete;Número de plazas estimadas;2020M07;4.352
02 Albacete;Número de plazas estimadas;2020M06;2.355
02 Albacete;Número de plazas estimadas;2020M05;305
02 Albacete;Número de plazas estimadas;2020M04;.
02 Albacete;Número de plazas estimadas;2020M03;2.029
02 Albacete;Número de plazas estimadas;2020M02;4.598
02 Albacete;Número de plazas estimadas;2020M01;4.653
02 Albacete;Número de plazas estimadas;2019M12;4.677
02 Albacete;Número de plazas estimadas;2019M11;4.758
02 Albacete;Número de plazas estimadas;2019M10;4.727
02 Albacete;Número de plazas estimadas;2019M09;4.576
02 Albacete;Número de plazas estimadas;2019M08;4.645
02 Albacete;Número de plazas estimadas;2019M07;4.503
02 Albacete;Número de plazas estimadas;2019M06;4.757
02 Albacete;Número de plazas estimadas;2019M05;4.557
02 Albacete;Número de plazas estimadas;2019M04;4.645
02 Albacete;Número de plazas estimadas;2019M03;4.640
02 Albacete;Número de plazas estimadas;2019M02;4.451
02 Albacete;Número de plazas estimadas;2019M01;4.137
02 Albacete;Número de plazas estimadas;2018M12;4.390
02 Albacete;Número de plazas estimadas;2018M11;4.517
02 Albacete;Número de plazas estimadas;2018M10;4.615
02 Albacete;Número de plazas estimadas;2018M09;4.394
02 Albacete;Número de plazas estimadas;2018M08;4.486
02 Albacete;Número de plazas estimadas;2018M07;4.611
02 Albacete;Número de plazas estimadas;2018M06;4.681
